iter	Logloss
0	0.6854869822
1	0.6775144689
2	0.670254386
3	0.6631099273
4	0.6559110835
5	0.6512312456
6	0.6450014165
7	0.6386763629
8	0.6335351709
9	0.6257730168
10	0.6183965754
11	0.6100915511
12	0.6036697224
13	0.5983818585
14	0.5911285074
15	0.5866045212
16	0.5838117548
17	0.5782421336
18	0.5729399492
19	0.5680956101
20	0.5636331487
21	0.5573986686
22	0.5517188088
23	0.5456385893
24	0.5414634745
25	0.5367672762
26	0.5310876204
27	0.52743465
28	0.5223002714
29	0.5177903201
30	0.5122998895
31	0.5084102039
32	0.5040719751
33	0.4995888695
34	0.4961125583
35	0.4925136056
36	0.4886895654
37	0.485637318
38	0.482653776
39	0.4788310821
40	0.4760882536
41	0.472894638
42	0.4690503615
43	0.4662389092
44	0.4639745294
45	0.4600501239
46	0.456458107
47	0.452790653
48	0.4499035188
49	0.4475994008
50	0.444071071
51	0.4419177866
52	0.4389428123
53	0.4366787181
54	0.4328386847
55	0.4304178411
56	0.4286302373
57	0.4256032036
58	0.4233487379
59	0.4209666125
60	0.4191477566
61	0.4162333279
62	0.414403742
63	0.412160496
64	0.41029056
65	0.4084535487
66	0.4065953219
67	0.4044483205
68	0.4009363511
69	0.3990089294
70	0.3969299806
71	0.3938940528
72	0.3915841006
73	0.3896287724
74	0.3883490741
75	0.3861070929
76	0.3839753095
77	0.3816711099
78	0.3793481837
79	0.3774200684
80	0.3756829328
81	0.3731339399
82	0.3715881511
83	0.3698816146
84	0.368678455
85	0.3666240264
86	0.3652312335
87	0.3633495474
88	0.3613104183
89	0.3588585267
90	0.3572631265
91	0.3558277803
92	0.3536914683
93	0.3523533459
94	0.3508897669
95	0.3493383887
96	0.3477673046
97	0.3463999702
98	0.3451229646
99	0.344248889
100	0.342406737
101	0.3413355414
102	0.3398174755
103	0.3386488726
104	0.3372964298
105	0.3359288098
106	0.334532651
107	0.333561168
108	0.3320449176
109	0.3303096588
110	0.3284715867
111	0.3272101458
112	0.3259351802
113	0.3250321577
114	0.3228383192
115	0.3212893481
116	0.3200586084
117	0.318655167
118	0.3170658866
119	0.3153461721
120	0.314499289
121	0.3131017634
122	0.3122640396
123	0.3114621983
124	0.309594955
125	0.3086164138
126	0.3074585206
